Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2006,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,335.33,115.5,159.16000000000003,0.0,19.67,481.75,0.0,236.02,0.08510638297872332
2007,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,284.27,119.78,157.15,0.0,22.07,452.05,0.0,226.25,-0.03258489105187485
2008,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,297.82,128.84,158.28,0.0,22.05,444.51,0.0,182.61,-0.025533733774268322
2009,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,278.01,132.48,173.43,0.0,23.76,444.56,0.0,193.78,-0.11620478675544361
2010,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,371.44,142.69,165.51000000000002,0.0,8.67,457.87,0.0,203.59,0.11918230065302374
2011,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,435.26,19.2,296.96,0.0,0.0,519.2,0.0,295.03,0.2293913713405239
2012,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,458.85,141.93,182.15,0.0,6.55,577.39,0.0,333.63,0.22206827274459204
2013,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,597.34,41.31,368.9,0.0,5.24,769.7,0.0,959.47,0.23631284916201115
2014,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,412.36,37.48,387.05,0.0,5.89,760.45,0.0,765.29,-0.023749095930041444
2015,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,517.28,39.32,446.90999999999997,0.0,9.02,886.47,0.0,611.26,0.02485137680914189
2016,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,401.74,32.97,435.28999999999996,0.0,12.86,802.29,0.0,444.09,-0.09894177915716261
2017,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,486.06,20.43,419.72,0.0,11.01,893.77,0.0,545.68,0.039048077245823834
2018,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,439.22,26.83,460.34,0.0,8.4,848.35,0.0,292.58,-0.0664230565214828
2019,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,437.36,23.35,444.8,0.0,7.75,883.67,0.0,398.42,-0.043613566150259735
2020,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,299.34,14.79,438.15999999999997,0.0,21.44,864.4,0.0,208.69,-0.20251041184636745
2021,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,522.93,20.93,416.11,0.0,11.13,879.47,0.0,474.32,0.08500574209467057
2022,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,389.31,11.53,424.66,0.0,4.25,870.96,0.0,395.11,-0.05870533664002939
2023,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,521.97,23.7,492.38,0.0,7.36,1049.65,0.0,346.02,-0.0014004668222740504
2024,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Consumer Discretionary,476.51,35.51,459.61,0.0,7.89,1062.25,0.0,396.03,-0.024947046363850332
