Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,SCANA.OL,Scana ASA,Metals & Mining,Materials,1253.68,498.51,716.55,0.0,32.94,149.21,0.0,283.69,0.03806715367602788
2005,SCANA.OL,Scana ASA,Metals & Mining,Materials,1568.0,667.0,776.0,0.0,0.0,439.14,0.0,735.89,0.28464726510907684
2006,SCANA.OL,Scana ASA,Metals & Mining,Materials,1914.8,863.29,915.08,0.0,22.84,616.61,0.0,1340.95,0.1842169280420362
2007,SCANA.OL,Scana ASA,Metals & Mining,Materials,2469.04,1103.55,1114.54,0.0,32.11,723.76,0.0,3090.73,0.3023654250027634
2008,SCANA.OL,Scana ASA,Metals & Mining,Materials,2896.12,1323.59,1314.78,0.0,39.83,722.94,0.0,1340.95,0.3014358038011453
2009,SCANA.OL,Scana ASA,Metals & Mining,Materials,2267.0,838.0,1130.36,0.0,0.0,873.43,0.0,1280.45,0.34191635277011334
2010,SCANA.OL,Scana ASA,Metals & Mining,Materials,1747.64,735.11,1086.77,0.0,21.09,731.4,0.0,1157.01,-0.13033907574514617
2011,SCANA.OL,Scana ASA,Metals & Mining,Materials,2041.99,870.96,1267.38,0.0,33.12,630.38,0.0,324.83,-0.2053840540626291
2012,SCANA.OL,Scana ASA,Metals & Mining,Materials,1874.23,625.84,1367.17,0.0,26.44,569.64,0.0,346.03,-0.25493294010252127
2013,SCANA.OL,Scana ASA,Metals & Mining,Materials,1459.66,380.84,1235.02,0.0,31.69,405.26,0.0,140.22,-0.4636282880126334
2014,SCANA.OL,Scana ASA,Metals & Mining,Materials,1196.22,437.71,960.8100000000001,0.0,27.45,153.95,0.0,63.13,-1.4923676518350117
2015,SCANA.OL,Scana ASA,Metals & Mining,Materials,854.28,263.71,623.12,0.0,23.12,182.29,0.0,74.6,-0.30539250644577365
2016,SCANA.OL,Scana ASA,Metals & Mining,Materials,718.3,244.93,499.48,0.0,16.98,213.46,0.0,144.99,-0.201864517942472
2017,SCANA.OL,Scana ASA,Metals & Mining,Materials,258.14,91.21,210.72,0.0,6.6,175.75,0.0,117.68,-0.2867140825035562
2018,SCANA.OL,Scana ASA,Metals & Mining,Materials,223.0,0.0,169.41,0.0,6.0,12.74,0.0,65.14,3.7354788069073783
2019,SCANA.OL,Scana ASA,Metals & Mining,Materials,364.13,221.98,136.93,0.0,7.0,22.54,0.0,84.05,-0.07897071872227157
2020,SCANA.OL,Scana ASA,Metals & Mining,Materials,318.15,174.5,122.14,0.0,9.13,74.33,0.0,241.66,0.16655455401587482
2021,SCANA.OL,Scana ASA,Metals & Mining,Materials,304.68,156.68,125.28,0.0,5.71,102.13,0.0,156.34,0.16655243317340643
2022,SCANA.OL,Scana ASA,Metals & Mining,Materials,911.7,438.2,492.48,0.0,41.67,492.63,0.0,449.51,-0.12311471083774833
2023,SCANA.OL,Scana ASA,Metals & Mining,Materials,1606.0,881.3,639.3,0.0,40.5,581.2,0.0,912.47,0.07725395732966292
2024,SCANA.OL,Scana ASA,Metals & Mining,Materials,1970.0,919.3,899.0,0.0,37.2,663.0,0.0,1325.63,0.17269984917043746
