Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2002,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,625.04,114.02,18.87,0.0,0.0,1395.04,0.0,,0.3527855832090836
2003,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,686.53,130.81,20.19,0.0,0.0,1832.83,0.0,,0.2921874914749322
2004,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,732.26,145.9,22.02,0.0,168.84,2119.05,0.0,,0.18664023973006771
2005,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,711.72,138.19,22.46,0.0,145.11,2413.31,0.0,3132.65,0.16821709602164658
2006,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,790.98,245.4,24.36,0.0,162.72,3229.62,0.0,4994.81,0.11100377134152006
2007,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,897.08,270.43,26.0,0.0,221.89,3660.87,0.0,3740.83,0.10346174543209677
2008,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,999.01,287.4,26.51,0.0,312.19,3569.35,0.0,3417.15,0.10447560480199478
2009,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1017.23,286.4,26.34,0.0,261.71,3573.85,0.0,4119.8,0.1238943995970732
2010,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1086.72,313.25,27.71,0.0,235.99,4517.02,0.0,6501.81,0.11285537810326275
2012,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1293.43,348.93,30.08,0.0,336.89,5254.32,0.0,6677.86,0.10991526972091537
2013,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1537.89,423.28,46.03,0.0,423.28,6497.28,0.0,8348.02,0.09931848404255322
2014,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1704.89,458.37,45.93,0.0,448.27,6677.88,0.0,10516.01,0.11265850838888987
2015,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1826.16,485.7,48.76,0.0,417.82,9289.3,0.0,13754.46,0.09407382687608326
2016,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1993.37,507.67,52.04,0.0,450.72,10870.57,0.0,12346.66,0.0904221213790997
2017,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,2276.58,613.93,53.26,0.0,479.33,13600.78,0.0,15096.73,0.08308788172443052
2018,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,2513.48,695.8,60.87,0.0,451.38,15155.1,0.0,15360.28,0.08613799974925934
2019,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,2775.93,784.48,69.79,0.0,308.03000000000003,16771.98,0.0,24862.67,0.09620986907926196
2020,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3146.18,872.01,84.95,0.0,329.56,20253.32,0.0,29758.13,0.0918200077814403
2021,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3066.75,866.91,86.19,0.0,308.68,21383.47,0.0,30760.65,0.08440959301741018
2022,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3168.73,953.95,85.51,0.0,374.36,22006.78,0.0,22715.57,0.07974406069402246
2023,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3862.67,1112.72,93.56,0.0,967.41,22542.47,0.0,29170.99,0.07492435389733246
2024,WIHL.ST,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,4244.95,1198.02,98.65,0.0,1173.6100000000001,23806.58,0.0,33123.53,0.07454535678791324
