PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Q5,CAPM,Method2_PostMean minus Method1_Raw,-0.0060439995523291976,-0.0005036666293607665,-0.3103506905616374,0.7564644310473265
Q5,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0007099367590590461,-5.916139658825384e-05,-0.03585003881770268,0.9714207578898173
Q5,FF3,Method2_PostMean minus Method1_Raw,-0.005590696730367821,-0.0004658913941973184,-0.35535263245800736,0.7225246879952305
Q5,FF3,Method3_ProbQ5 minus Method1_Raw,-0.0005192577070027779,-4.3271475583564825e-05,-0.03156870271483319,0.9748327527660099
Q5,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.0038433661740865446,-0.00032028051450721205,-0.19904248369544647,0.8423376743605233
Q5,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,0.0010237958117774795,8.53163176481233e-05,0.05131489360382062,0.9591019956742142
Q5,FF5,Method2_PostMean minus Method1_Raw,-0.005776384178790242,-0.00048136534823252017,-0.34593673568939326,0.7295858188035891
Q5,FF5,Method3_ProbQ5 minus Method1_Raw,-0.00042226807759715435,-3.518900646642953e-05,-0.023868536044670607,0.9809702696679086
Q5,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.004629410544445239,-0.0003857842120371033,-0.24316588256749186,0.80801164789236
Q5,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,0.0008326193159872153,6.93849429989346e-05,0.04197443056207503,0.9665417227098199
