FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,median_sigma,tau2_at_floor
2014,141,0.1744477760229303,0.05266748231303295,0.00546380156957786,0.04720368074345509,0.0471940253726625,False
2015,159,0.20210259419557466,0.05109588141768789,0.00621752208075038,0.044878359336937505,0.043839711079969,False
2016,170,0.16807957460820416,0.19313066936309126,0.023632473614939323,0.16949819574815195,0.0376190726673504,False
2017,190,0.19419199874764886,0.14359670238374667,0.017433432053432753,0.1261632703303139,0.0353302521195289,False
2018,200,0.18474809199508457,0.1024220825887608,0.015001572189578077,0.08742051039918272,0.034317734564676655,False
2019,226,0.1683158904202394,0.10720614778607478,0.01589979994759393,0.09130634783848085,0.03369426889942945,False
2020,243,0.1709832471256192,0.12847715978146687,0.019423614707679965,0.10905354507378691,0.0344189137903441,False
2021,262,0.1497269652316867,0.08352134819870609,0.01155786905290655,0.07196347914579954,0.034984824510555,False
2022,281,0.17572326734304614,0.17419007707847048,0.02409310597165977,0.1500969711068107,0.0345773984726012,False
2023,308,0.17593655967458482,0.12373891608637262,0.01805137842626536,0.10568753766010726,0.0354397076834801,False
2024,328,0.2769557876273803,3.8177838659714856,0.5530122452952305,3.264771620676255,0.03488460763418115,False
2025,350,0.16581241968849003,0.26153713922827837,0.04117515494232782,0.22036198428595055,0.034983249296132155,False
