PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_ObservedQuality,0.003307107368073608,0.00027559228067280066,0.11084600937134083,0.9118983506878322,3.524547136113387e-05,141
LongShort,FF3,Method1_ObservedQuality,0.005029271739669373,0.0004191059783057811,0.17001200054075585,0.8652515000536125,0.08155425930428073,141
LongShort,FF3+MOM,Method1_ObservedQuality,-0.019087609816692552,-0.001590634151391046,-0.5286380055892468,0.5979182417003082,0.1030644767090062,141
LongShort,FF5,Method1_ObservedQuality,0.0021981821633223586,0.00018318184694352988,0.07042932390414111,0.9439561752541983,0.0905925699601341,141
LongShort,FF5+MOM,Method1_ObservedQuality,-0.019191643532467828,-0.0015993036277056525,-0.530554194216829,0.5966059096334588,0.10725911390673182,141
LongShort,CAPM,Method2_LatentQuality,-0.009280069888635709,-0.000773339157386309,-0.39782033110360515,0.6913729316989894,0.0004098828312200098,141
LongShort,FF3,Method2_LatentQuality,-0.007811430675738773,-0.0006509525563115644,-0.33147229002709966,0.7407942760772182,0.07477389798726364,141
LongShort,FF3+MOM,Method2_LatentQuality,-0.019977766453457464,-0.0016648138711214554,-0.5944693591346006,0.5531858999444172,0.08163478394511625,141
LongShort,FF5,Method2_LatentQuality,-0.009898596381512914,-0.0008248830317927428,-0.390994065207867,0.6964179955822998,0.08385720685020426,141
LongShort,FF5+MOM,Method2_LatentQuality,-0.022515888937135985,-0.0018763240780946655,-0.6712618501050951,0.5032092310398866,0.09112531718925643,141
LongShort,CAPM,Method3_ConservativeQuality,0.0029640937393782835,0.00024700781161485696,0.11126448993238851,0.9115671151187819,0.0006947640323240467,141
LongShort,FF3,Method3_ConservativeQuality,0.004032102332356243,0.0003360085276963536,0.14577977696944666,0.884309514714033,0.0681584948555688,141
LongShort,FF3+MOM,Method3_ConservativeQuality,-0.009733734882006696,-0.000811144573500558,-0.28918369058844723,0.772881170366067,0.07569651169960923,141
LongShort,FF5,Method3_ConservativeQuality,0.0003849847930446085,3.208206608705071e-05,0.013243220855167059,0.9894532985346549,0.08353668569912742,141
LongShort,FF5+MOM,Method3_ConservativeQuality,-0.00941944202638008,-0.00078495350219834,-0.27879440202773165,0.7808324006958851,0.08730307168111795,141
