Ticker,FormationYear,theta_obs,theta_post_mean,theta_conservative,p_q5,p_q1,sigma_acc,MarketCap,Method1_ObservedQuality_PortfolioNum,Method1_ObservedQuality_Portfolio,Method2_LatentQuality_PortfolioNum,Method2_LatentQuality_Portfolio,Method3_ConservativeQuality_PortfolioNum,Method3_ConservativeQuality_Portfolio,Method4_ProbabilisticQuality_PortfolioNum,Method4_ProbabilisticQuality_Portfolio
AAK.ST,2014,0.1895951002584571,0.1894453639138965,0.1876180336527338,2.3189547948554438e-08,1.131415012071279e-09,0.0182255630962541,15967.29,3,Q3,3,Q3,3,Q3,,
ABB.ST,2014,-1.2281880363871074,-1.1049940617812128,-1.245754103575171,0.0,1.0,0.056599488859686,356410.22,1,Q1,1,Q1,1,Q1,1,Q1
AFRY.ST,2014,0.1632392564334333,0.1638804894287036,0.1517973708186511,0.0027285375373725,0.0239834208432625,0.0449318434735941,7950.61,3,Q3,3,Q3,3,Q3,,
AKRBP.OL,2014,-0.5894380926919025,-0.4338677798650293,-0.6301693901797343,0.0,0.9999999999830408,0.0922416262169397,9385.18,1,Q1,1,Q1,1,Q1,1,Q1
ALFA.ST,2014,0.3098270411864533,0.302786992108554,0.2994265576716466,0.5176054308096392,2.414406549734399e-07,0.0427204876919388,65227.58,5,Q5,5,Q5,5,Q5,5,Q5
ALKb.CO,2014,0.2424332816290816,0.242064069776414,0.2413471328996555,2.3243441877762727e-05,3.120672213223728e-30,0.0134784572611969,6320.38,4,Q4,4,Q4,4,Q4,,
ASPO.HE,2014,0.0707013246340134,0.0753649208926196,0.0617109520551504,1.3470374460311518e-07,0.4120925281352513,0.0395721153175765,1557.0,2,Q2,2,Q2,2,Q2,,
ASSAb.ST,2014,0.2571881648419516,0.254567282591595,0.25085297041571,0.0959911073471128,1.814892698085085e-07,0.0329900270388397,112625.29,4,Q4,4,Q4,4,Q4,,
ATCOa.ST,2014,0.4368682848918985,0.4212353525263291,0.424953871317329,0.9925943703977854,6.324819849079237e-13,0.0459078154976218,143847.65,5,Q5,5,Q5,5,Q5,5,Q5
ATEA.OL,2014,0.0639153079710141,0.0702459426917512,0.0524605113265318,1.3834376683119487e-06,0.473565593816087,0.0449587261266994,5579.35,2,Q2,1,Q1,2,Q2,,
ATRAV.HE,2014,0.0183108356102931,0.0211237441497385,0.0147077055220365,0.0,0.9258576666165392,0.0247059034478517,1193.62,1,Q1,1,Q1,1,Q1,1,Q1
ATRLJb.ST,2014,0.0717921611782976,0.0732019435050807,0.0690455363026552,0.0,0.3282365138189755,0.0215236292542358,10717.06,2,Q2,2,Q2,2,Q2,,
AUSS.OL,2014,0.122414123968528,0.1312931902726209,0.0882859551641947,0.0195173540995526,0.245027552295804,0.0827367053965611,7196.47,2,Q2,2,Q2,2,Q2,,
AXFO.ST,2014,0.2148464644829631,0.2136155659385925,0.2087527095058019,0.0072061632118589,2.343262127290477e-05,0.0323351325335578,15957.01,3,Q3,3,Q3,4,Q4,,
AZN.ST,2014,0.3350539526995915,0.3294486091663529,0.3280737186273696,0.7502912909947171,6.6630268005419094e-12,0.0346866334140321,451324.69,5,Q5,5,Q5,5,Q5,5,Q5
BAKKA.OL,2014,0.3139569860129343,0.2750441542497097,0.258171662927795,0.521952034850486,0.0135817772335521,0.1134444608149909,4641.52,5,Q5,4,Q4,4,Q4,5,Q5
BAVA.CO,2014,0.5039213530500432,0.4315213569699033,0.4599724593430483,0.973024185932071,6.679777075261766e-06,0.0967984932971422,2596.36,5,Q5,5,Q5,5,Q5,5,Q5
BEIAb.ST,2014,0.2260852420229372,0.222316471864137,0.2114882044425119,0.0823477167065804,0.0023889396775795,0.0511802117226342,4470.81,4,Q4,4,Q4,4,Q4,,
BEIJb.ST,2014,0.1311043601945667,0.1372815664022814,0.1026008097029488,0.0156855166564404,0.1945612143924467,0.0743618119000585,5168.49,3,Q3,3,Q3,2,Q2,,
BETSb.ST,2014,0.3263665175145019,0.3050154891892262,0.2982580325235829,0.5909211803556514,0.000548164800928,0.0737597692074377,4516.74,5,Q5,5,Q5,5,Q5,5,Q5
BILL.ST,2014,0.1013927391821173,0.1060087772207624,0.0887555871437068,7.952115813558702e-05,0.2268184202741353,0.0473708213978024,15944.33,2,Q2,2,Q2,2,Q2,,
BIOGb.ST,2014,0.363873819570022,0.3101236501456382,0.3071232604411011,0.6864783754545253,0.0043758885434859,0.1148065468040624,3804.29,5,Q5,5,Q5,5,Q5,5,Q5
BITTI.HE,2014,0.2565374343321692,0.22815575162209,0.1873894239867907,0.3445717921224615,0.0624180202052365,0.1325951773359748,2885.55,4,Q4,4,Q4,3,Q3,,
