Specification,PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs
"Analyst CFO hybrid, full sigma propagation",Q5,Method1_ObservedQuality,Observed Quality,0.1089904842105285,0.089849349458756,0.1251202166467764,0.1255293127385239,0.7157638921031227,-0.2168505701980569,141
"Analyst CFO hybrid, full sigma propagation",Q5,Method2_LatentQuality,Latent Quality,0.1050158870905067,0.0858747523387342,0.1267583226836689,0.1270914705555536,0.6756924911117232,-0.2275582364230187,141
"Analyst CFO hybrid, full sigma propagation",Q5,Method3_ConservativeQuality,Conservative Quality,0.1058916551660866,0.0867505204143141,0.1254857163289296,0.1258924166492527,0.6890845590486089,-0.2160225607668388,141
"Analyst CFO hybrid, full sigma propagation",Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.1071258870687808,0.0879847523170083,0.1248680842502499,0.1252741190084701,0.7023378253496992,-0.215991447296989,141
"Analyst CFO hybrid, full sigma propagation",LongShort,Method1_ObservedQuality,Observed Quality,0.0306744179105556,0.0306744179105556,0.1047749765689679,0.1047749765689679,0.2927647317617324,-0.2254281299249827,141
"Analyst CFO hybrid, full sigma propagation",LongShort,Method2_LatentQuality,Latent Quality,0.0298948451326448,0.0298948451326448,0.1047767768027587,0.1047767768027587,0.2853193813064286,-0.2233879559442516,141
"Analyst CFO hybrid, full sigma propagation",LongShort,Method3_ConservativeQuality,Conservative Quality,0.022848256108105,0.022848256108105,0.1081770576342068,0.1081770576342068,0.2112116617681063,-0.243557217754011,141
"Analyst CFO hybrid, full sigma propagation",LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.0278851275702021,0.0278851275702021,0.1047656197384909,0.1047656197384909,0.2661667791381104,-0.2410981660182358,141
"No CFO lead matched baseline, full sigma propagation",Q5,Method1_ObservedQuality,Observed Quality,0.1089904842105285,0.089849349458756,0.1251202166467764,0.1255293127385239,0.7157638921031227,-0.2168505701980569,141
"No CFO lead matched baseline, full sigma propagation",Q5,Method2_LatentQuality,Latent Quality,0.1033804314010738,0.0842392966493013,0.127518423506279,0.1278124921639356,0.6590850019672081,-0.227384284341404,141
"No CFO lead matched baseline, full sigma propagation",Q5,Method3_ConservativeQuality,Conservative Quality,0.1044967535321687,0.0853556187803961,0.1249441433327956,0.1253488203491042,0.6809447312122725,-0.2160225607668388,141
"No CFO lead matched baseline, full sigma propagation",Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.1071258870687808,0.0879847523170083,0.1248680842502499,0.1252741190084701,0.7023378253496992,-0.215991447296989,141
"No CFO lead matched baseline, full sigma propagation",LongShort,Method1_ObservedQuality,Observed Quality,0.0306744179105556,0.0306744179105556,0.1047749765689679,0.1047749765689679,0.2927647317617324,-0.2254281299249827,141
"No CFO lead matched baseline, full sigma propagation",LongShort,Method2_LatentQuality,Latent Quality,0.0264892154740724,0.0264892154740724,0.1067415207462779,0.1067415207462779,0.2481622454774343,-0.2230861441161975,141
"No CFO lead matched baseline, full sigma propagation",LongShort,Method3_ConservativeQuality,Conservative Quality,0.0231203792205318,0.0231203792205318,0.1079455951001582,0.1079455951001582,0.2141854811127716,-0.2508820759007932,141
"No CFO lead matched baseline, full sigma propagation",LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.0278591984269483,0.0278591984269483,0.1047971477431597,0.1047971477431597,0.2658392811913794,-0.2410981660182358,141
