FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2014,141,0.1744477760229303,0.05266748231303295,0.010759564870981479,0.04190791744205147,0.3076398974414143,0.1659043506897434,0.0604674903041995,0.0473022938353705,sigma_mean,1,0.0
2015,159,0.20210259419557466,0.05109588141768789,0.012343269836900409,0.03875261158078748,0.34705720630872217,0.1861844691419789,0.06368517020252508,0.0447887586174045,sigma_mean,1,0.0
2016,170,0.16807957460820416,0.19313066936309126,0.046454721817832875,0.14667594754525837,0.311129823765845,0.17500827540966857,0.06487540443982158,0.039698565627201046,sigma_mean,1,0.0
2017,190,0.19419199874764886,0.14359670238374667,0.03537529724121883,0.10822140514252784,0.332137232480357,0.1931314149931168,0.055017880057624015,0.037562184830215006,sigma_mean,1,0.0
2018,200,0.18474809199508457,0.1024220825887608,0.030394118421718713,0.07202796416704209,0.3269341129399266,0.18349261513178916,0.07958835192614472,0.03674034652139695,sigma_mean,1,0.0
2019,226,0.1683158904202394,0.10720614778607478,0.034602808140156996,0.07260333964591778,0.3199737666690956,0.16317640164546282,0.0557613543520285,0.0362170211163658,sigma_mean,1,0.0
2020,243,0.1709832471256192,0.12847715978146687,0.0479796233117853,0.08049753646968158,0.32029076305815557,0.1561560213937813,0.057775789075831446,0.0341192345733139,sigma_mean,1,0.0
2021,262,0.1497269652316867,0.08352134819870609,0.02473755665363114,0.058783791545074945,0.3083825532869748,0.15965207634030304,0.026420745464244805,0.036106939196094145,sigma_mean,1,0.0
2022,281,0.17572326734304614,0.17419007707847048,0.050707657689444116,0.12348241938902636,0.3406202639762613,0.1782093562965676,0.0329783880822713,0.0351325607387453,sigma_mean,1,0.0
2023,308,0.17593655967458482,0.12373891608637262,0.03779847864384752,0.08594043744252511,0.33834103821173844,0.1566623819357953,0.015889526236858745,0.03674427432651775,sigma_mean,1,0.0
2024,328,0.2769557876273803,3.8177838659714856,1.1281613599942466,2.6896225059772387,0.30200911994582263,0.13439093688145226,0.009024116434646453,0.03650752582414895,sigma_mean,1,0.0
2025,350,0.16581241968849003,0.26153713922827837,0.08094283441454325,0.18059430481373512,0.28744966697269697,0.12027424997301264,0.004035510325923898,0.03640031296047885,sigma_mean,1,0.0
