Method,Portfolio,FactorModel,alpha,t_stat,p_value,r_squared,n_obs
Method1_ObservedQuality,Q1,CAPM,0.002848758700299784,1.3383255247806152,0.18297541796235683,0.5245745744707504,141.0
Method1_ObservedQuality,Q1,FF3,0.0028388101816108507,1.3336079729651007,0.18454537883191557,0.5251242824430118,141.0
Method1_ObservedQuality,Q1,Carhart,0.0048298397028734875,2.147079531505621,0.03356059000066969,0.5346309782137586,141.0
Method1_ObservedQuality,Q1,FF5,0.004322478760182787,2.0346005535356397,0.04384905709144982,0.6746738164365518,141.0
Method1_ObservedQuality,Q1,FF5_MOM,0.004668894909323937,2.3796830957800923,0.01873679342978596,0.6749572811591313,141.0
Method1_ObservedQuality,Q2,CAPM,0.0013135557974755868,0.6192812565269646,0.5367447931306546,0.4957994208606623,141.0
Method1_ObservedQuality,Q2,FF3,0.0012014211311091527,0.5834636945838172,0.5605405013794771,0.5194356194037737,141.0
Method1_ObservedQuality,Q2,Carhart,0.003014230587653714,1.2590637119644037,0.21016409568610128,0.5278422559140228,141.0
Method1_ObservedQuality,Q2,FF5,0.0014544056574005415,0.7503825386671655,0.4543301932260142,0.5447795064417229,141.0
Method1_ObservedQuality,Q2,FF5_MOM,0.0024382122675166954,1.1278428178578201,0.26140168277355946,0.547218249171951,141.0
Method1_ObservedQuality,Q3,CAPM,0.004654125544101596,1.6435694590303949,0.10252522338123304,0.4855485989413657,141.0
Method1_ObservedQuality,Q3,FF3,0.004481407466655524,1.8702234220378309,0.06358658521918481,0.5085879711605943,141.0
Method1_ObservedQuality,Q3,Carhart,0.0028322892375373695,1.0933013309485953,0.2761942766665606,0.5169679295370047,141.0
Method1_ObservedQuality,Q3,FF5,0.004460926676810284,1.8942083974234083,0.060336522599066855,0.5108798480982423,141.0
Method1_ObservedQuality,Q3,FF5_MOM,0.0029446946893662003,1.2438852782716403,0.21571336901991645,0.5178573208267552,141.0
Method1_ObservedQuality,Q4,CAPM,0.00015056807981168814,0.07060426489456957,0.9438141953609513,0.6401389917323546,141.0
Method1_ObservedQuality,Q4,FF3,0.0001535376941595237,0.0703439254616863,0.944022499546405,0.6429294424693551,141.0
Method1_ObservedQuality,Q4,Carhart,-0.0008846092266558395,-0.4030673118743854,0.6875316432942173,0.6462107473369096,141.0
Method1_ObservedQuality,Q4,FF5,-5.1839396310568255e-05,-0.023003962368972522,0.9816810793075355,0.6479555570571492,141.0
Method1_ObservedQuality,Q4,FF5_MOM,-0.0010887098757965978,-0.5099342080950546,0.6109364290759776,0.651179642362064,141.0
Method1_ObservedQuality,Q5,CAPM,0.0033403615105993567,1.2199982779479115,0.22453139012534717,0.45187924862524254,141.0
Method1_ObservedQuality,Q5,FF3,0.003336307980216169,1.6181529561719745,0.10792966963850659,0.5742604378932615,141.0
Method1_ObservedQuality,Q5,Carhart,0.0016211143212720655,0.6908373068425365,0.49084521977741447,0.5830910388982948,141.0
Method1_ObservedQuality,Q5,FF5,0.0027264171354292994,1.2229112747667188,0.22349374299294822,0.605522876383614,141.0
Method1_ObservedQuality,Q5,FF5_MOM,0.0015494816825138286,0.6240634304562098,0.5336469149719489,0.6096182901894022,141.0
Method2_LatentQuality,Q1,CAPM,0.0040113333974123875,1.9790450442087748,0.04978698589799513,0.5232822407507488,141.0
Method2_LatentQuality,Q1,FF3,0.004035798347010589,2.106408820164171,0.036992462570862195,0.5259494508072193,141.0
Method2_LatentQuality,Q1,Carhart,0.0060959137902884515,2.466925070597314,0.014870717304266146,0.5367963551262194,141.0
Method2_LatentQuality,Q1,FF5,0.005475693747965424,2.7597207501761147,0.006589026367325834,0.6905057298003463,141.0
Method2_LatentQuality,Q1,FF5_MOM,0.005555730268326779,2.724427190726846,0.007300784051763376,0.6905218558374189,141.0
Method2_LatentQuality,Q2,CAPM,0.00011847124640375619,0.05733809182952781,0.9543582200348135,0.5189732996703917,141.0
Method2_LatentQuality,Q2,FF3,-5.740664756853189e-05,-0.030489644441771276,0.9757209245151397,0.5472661665816931,141.0
Method2_LatentQuality,Q2,Carhart,0.0010595520332064546,0.3925661075176714,0.6952545587873766,0.5503896242624146,141.0
Method2_LatentQuality,Q2,FF5,3.6193889713157875e-05,0.018180753249716342,0.9855214993338608,0.5481482924708556,141.0
Method2_LatentQuality,Q2,FF5_MOM,0.001038251859829875,0.4081109800144314,0.683843563090027,0.5506244351500018,141.0
Method2_LatentQuality,Q3,CAPM,0.004496399402581967,1.5747374670893048,0.11759039689207551,0.5016636547193865,141.0
Method2_LatentQuality,Q3,FF3,0.004322067870428192,1.8044601127495317,0.07335585800130673,0.5223161153438377,141.0
Method2_LatentQuality,Q3,Carhart,0.002523872715750037,0.9715059266648914,0.33302109076643194,0.5321109485063424,141.0
